experiment_id,date,git_sha,gpu,config,seed,status,cityscapes_miou,bdd_miou,mapillary_miou,average_miou,notes
A0_DINOV3L_BASE_SMOKE_500_0a758f8,2026-09-16,0a758f86b55398711033707093a5b45fe35d2c19,NVIDIA GeForce RTX 4090 D,configs/baseline/gta_dinov3l.yaml,0,smoke_passed,0.3221537975,,,,50-image Cityscapes validation smoke test
A0_DINOV3L_BASE_SEED0_40000_REPAIRED_7eee12b,2026-09-17,7eee12b3ad8c923de0e8557d3126f41c7b6cc617,NVIDIA GeForce RTX 4090 D,configs/baseline/gta_dinov3l.yaml,0,complete,0.6017277359,,,,Full 500-image Cityscapes validation after GTA5 image repair
A1_QUERY_SEED0_40000_543ab2e,2026-09-17,543ab2e5ad302127716888f13c520786c3b2479c,NVIDIA GeForce RTX 4090 D,configs/query/gta_dinov3l_query.yaml,0,complete,0.6195300842,,,,Query-only; +1.7802 percentage points over accepted baseline
A2_QUERY_STYLE_SMOKE_500_18f64e8,2026-09-17,18f64e8612f46133cd66feda8522ee98b0b45411,NVIDIA GeForce RTX 4090 D,configs/style/gta_dinov3l_style.yaml,0,smoke_passed,0.3395561173,,,,50-image validation; aligned five-sample style visualization accepted
A2_QUERY_STYLE_SEED0_40000_293b330,2026-09-17,293b3309e5dd4c95086e95c9a35576754444e7e5,NVIDIA GeForce RTX 4090 D,configs/style/gta_dinov3l_style.yaml,0,complete,0.6396101251,,,,Query + Style; +2.0080 percentage points over Query-only
A3_PRED_CONS_SEED0_40000_4a95ebd,2026-09-18,4a95ebd7dd627bd4695f201553a5e84aa709db09,NVIDIA GeForce RTX 4090 D,configs/consistency/gta_dinov3l_pred_cons.yaml,0,complete_control_floor_missed,0.6212242964,,,,-1.8386 percentage points versus Query + Style; retained as fixed control
A4_CQE_SMOKE_500_fc06304,2026-09-18,fc063040ed9d0df19cae3cd059f68a6903be3c2c,NVIDIA GeForce RTX 4090 D,configs/causalq/gta_dinov3l_causalq.yaml,0,smoke_passed,0.3282017201,,,,50-image validation; CQE nonzero on 499 of 500 iterations and numerically stable
A4_CQE_SEED0_40000_f05cdc3,2026-09-18,f05cdc37fc1a95bc83d1b4a90441250c657e8c51,NVIDIA GeForce RTX 4090 D,configs/causalq/gta_dinov3l_causalq.yaml,0,complete_target_missed,0.5917505963,,,,-2.9474 percentage points versus prediction consistency; below predefined safety floor
